fqdn,label,port,protocol,source,uri,url
 ,benign, , ,stratosphere, ,http://sc.symcd.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBQckPwgwK2Thdm9JYVwXQ4ERz3XDQQUo47PGUI9MeGrIYmEbcvZeaKysloCEHqjyY/ZZ0CXL8+HJTc/PlA=
 ,benign, , ,stratosphere, ,http://evcs-ocsp.ws.symantec.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBQckPwgwK2Thdm9JYVwXQ4ERz3XDQQUo47PGUI9MeGrIYmEbcvZeaKysloCEHX7Uch2jvaSe/QdoaI0odk=
 ,benign, , ,stratosphere, ,http://crl.verisign.com/pca3.crl
 ,benign, , ,stratosphere, ,http://cs.microsoft.com/getid.js?jsoncb=MscomSetFPC
 ,benign, , ,stratosphere, ,http://survey.122.2o7.net/survey/dynamic/suites/345/skypeglobalprod/list.js?1260812275100
 ,benign, , ,stratosphere, ,http://www.skypeassets.com/content/dam/scom/images/downloads/desktop/postdownload-mobile1.jpg
 ,benign, , ,stratosphere, ,http://c1.microsoft.com/c.gif?DI=4050&did=1&t=
 ,benign, , ,stratosphere, ,"http://metrics.skype.com/b/ss/skypeglobalprod/1/H.25.4/s49841042617335?AQB=1&ndh=1&t=25/6/2015 11:48:55 6 420&fid=21A0A64303277609-0D75A3EF7C11C2DF&ce=UTF-8&ns=skype&cl=63072000&pageName=static/download-skype/skype-for-windows/downloading&g=http://www.skype.com/en/download-skype/skype-for-windows/downloading/&r=http://www.skype.com/en/download-skype/skype-for-computer/&cc=EUR&ch=downloads&server=www.skype.com&events=event5&products=;;;;;evar22=downloading-_-left-_-tablet,;;;;;evar22=downloading-_-right-_-mobile&c5=en&v5=D=c5&v6=non-user&v7=D=pageName&v15=D=ch&v18=new&c21=D=v18&c22=New&c23=static/download-skype/skype-for-computer&c24=D=v6&v26=New&c27=20140528|H.25.4.&v27=D=c23&c30=2AD9ED0A05194BAB-6000060780004347&c38=11:48&c39=2015-07-25&c40=flash 18&c54=desktop&v54=D=c54&h1=static,download-skype,skype-for-windows,downloading&s=964x629&c=24&j=1.6&v=Y&k=Y&bw=964&bh=538&p=Widevine Content Decryption Module;Chrome PDF Viewer;Shockwave Flash;Chrome Remote Desktop Viewer;Native Client;&AQE=1"
 ,benign, , ,stratosphere, ,http://nexus.ensighten.com/skype/prod/code/c633a04651f3cb04426824e77040d757.js?conditionId0=371185&conditionId1=348689&conditionId2=354190&conditionId3=344940
 ,benign, , ,stratosphere, ,http://c.microsoft.com/trans_pixel.aspx?wcs.tz=-7&wcs.cot=0&wcs.route=60000&wcs.ctrl=&wcs.ts=1437850135604&wcs.fpc=ID%3D1bbbd8dfaabbca469f8106c0c51fb9e2%26CS%3D1%26LV%3D201507%26V%3D1&wcs.r=http://www.skype.com/en/download-skype/skype-for-computer/&wcs.cd=0&wcs.eid=93c72ed1-6c76-eb95-15dc-cd5851d31328&wcs.sr=964x629&wcs.bs=960x1797&wcs.fi=1&wcs.fv=18.0&wcs.rsd=www.skype.com&wcs.rsus=/en/download-skype/skype-for-windows/downloading/&wcs.rsqs=&wcs.rihs=0&wcs.cks=&wcs.ti=Downloading and setting up Skype&wcs.v=4&wcs.vct=1&wcs.vs=0&wcs.vclt=0&wcs.vfpv=0&wcs.et=1&ms.prod=Skype&ms.env=prod&ms.lang=en&ms.pagetype=downloads&ms.rwd=desktop&ms.skypepn=static/download-skype/skype-for-windows/downloading&wcs.tr=0
